Atoms,BDE_kcal,BDE_kJ,SMILES,Targeted_Halogen,MolWt,LogP,TPSA,NumRotBonds,HBD,FractionCsp3,NumHeavyAtoms,Halogen_Z,C_degree,C_hybridization,X_hybridization,C_GasteigerCharge,X_GasteigerCharge,X_EN
Dichloroiodomethane,45.1,189,ClC(Cl)I,I,210.829,2.1826,0,0,0,1,4,53,3,4,4,0.157910045,-0.046751898,2.66
Chloroiodomethane,53,221.8,ClCI,I,176.384,1.6177,0,0,0,1,3,53,2,4,4,0.074174117,-0.068682072,2.66
Bromochlorofluoroiodomethane,46.9,196,FC(Cl)(Br)I,I,273.27,2.6359,0,0,0,1,5,53,4,4,4,0.287040492,-0.008489756,2.66
Bromochloroiodomethane,44.7,187,ClC(Br)I,I,255.28,2.3387,0,0,0,1,4,53,3,4,4,0.139308529,-0.052004213,2.66
Bromodichloroiodomethane,40.8,171,ClC(Cl)(Br)I,I,289.725,2.9052,0,0,0,1,5,53,4,4,4,0.221755024,-0.02946176,2.66
Dibromochloroiodomethane,37,155,ClC(Br)(Br)I,I,334.176,3.0613,0,0,0,1,5,53,4,4,4,0.203141225,-0.034896062,2.66
Tribromoiodomethane,36.4,152,BrC(Br)(Br)I,I,378.627,3.2174,0,0,0,1,5,53,4,4,4,0.184707029,-0.040235743,2.66
Dibromoiodomethane,44.2,185,BrC(Br)I,I,299.731,2.4948,0,0,0,1,4,53,3,4,4,0.120665208,-0.057197269,2.66
Bromoiodomethane,52.4,219.2,BrCI,I,220.835,1.7738,0,0,0,1,3,53,2,4,4,0.055204275,-0.073781782,2.66
Tetraiodomethane,45.8,192,IC(I)(I)I,I,519.627,3.3377,0,0,0,1,5,53,4,4,4,0.173608835,-0.043402209,2.66
Triiodomethane,52.7,220.5,IC(I)I,I,393.731,2.575,0,0,0,1,4,53,3,4,4,0.113563208,-0.059195553,2.66
Diiodomethane,51.8,216.9,ICI,I,267.835,1.8139,0,0,0,1,3,53,2,4,4,0.051622523,-0.074763172,2.66
Iodomethane,57.1,238.9,CI,I,141.939,1.0512,0,0,0,1,2,53,1,4,4,-0.012097335,-0.090134358,2.66
2-Iodoethanenitrile,44.7,187,ICC#N,I,166.949,0.94498,23.79,0,0,0.5,4,53,2,4,4,0.086953255,-0.069784114,2.66
Pentafluoroiodoethane,52.4,219.2,FC(F)(F)C(F)(F)I,I,245.916,2.5765,0,0,0,1,8,53,4,4,4,0.388953128,0.009465715,2.66
"1,2-Diiodo-1,1,2,2- tetrafluoro ethane",52,217.6,FC(F)(I)C(F)(F)I,I,353.822,3.042,0,1,0,1,8,53,4,4,4,0.367037007,0.006817412,2.66
"1,1,1-Trifluoro-2- iodoethane",56.3,235.6,FC(F)(F)CI,I,209.936,1.9837,0,0,0,1,6,53,2,4,4,0.095669075,-0.076528501,2.66
"1,1-Difluoro-1- iodoethane",52,217.6,CC(F)(F)I,I,191.946,2.0341,0,0,0,1,5,53,4,4,4,0.29338843,-0.001873562,2.66
"1-Fluoro-1,1- diiodoethane",52.1,218,CC(F)(I)I,I,299.852,2.4996,0,0,0,1,5,53,4,4,4,0.207473928,-0.029251367,2.66
1-Chloro-2-iodo-ethane,54.2,226.8,ClCCI,I,190.411,1.6602,0,1,0,1,4,53,2,4,4,0.013144855,-0.085085643,2.66
1-iodo-2-bromoethane,53,221.8,ICCBr,I,234.862,1.8163,0,1,0,1,4,53,2,4,4,0.009262395,-0.085471631,2.66
Pentafluoro-2- iodopropane,51.4,215.1,FCC(F)(I)C(F)(F)F,I,259.943,2.619,0,1,0,1,9,53,4,4,4,0.282389771,-0.027551726,2.66
Iodoethyne,78.8,329.9,IC#C,I,151.934,1.0121,0,0,0,0,3,53,2,2,4,-0.033843248,0.017777038,2.66
Iodoethylene,66,276.3,IC=C,I,153.95,1.5649,0,0,0,0,3,53,2,3,4,-0.030584595,-0.053628033,2.66
Iodoethane,55.8,233.5,CCI,I,155.966,1.4413,0,0,0,1,3,53,2,4,4,-0.003318429,-0.086675952,2.66
3-Iodo-prop-1-yne,44.1,184.6,ICC#C,I,165.961,1.0546,0,0,0,0.333333333,4,53,2,4,4,0.060646593,-0.072137958,2.66
3-Iodo-1-propene,44.4,185.8,ICC=C,I,167.977,1.6074,0,1,0,0.333333333,4,53,2,4,4,0.017284582,-0.081862749,2.66
(Z)-1-iodo-1-propene,68.6,287,C\C=C/I,I,167.977,1.955,0,0,0,0.333333333,4,53,2,3,4,-0.027653976,-0.0533429,2.66
(E)-1-iodo-1-propene,67,280.3,C/C=C/I,I,167.977,1.955,0,0,0,0.333333333,4,53,2,3,4,-0.027653976,-0.0533429,2.66
1-Iodopropane,56.6,236.8,CCCI,I,169.993,1.8314,0,1,0,1,4,53,2,4,4,-0.000735306,-0.086386754,2.66
2-Iodopropane,56.1,234.7,CC(C)I,I,169.993,1.8298,0,0,0,1,4,53,3,4,4,0.005295519,-0.083223829,2.66
"1,3-Diiodopropane",54.4,227.6,ICCCI,I,295.889,2.2465,0,2,0,1,5,53,2,4,4,0.00025691,-0.086347329,2.66
1-Iodononafluorobutane,49.2,205.8,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,I,345.93,3.8471,0,2,0,1,14,53,4,4,4,0.364461555,0.00607048,2.66
1-Iodo-2-methyl-propane,57.3,239.8,CC(C)CI,I,184.02,2.0774,0,1,0,1,5,53,2,4,4,0.001838852,-0.086096293,2.66
2-Iodobutane,56.9,238,CCC(C)I,I,184.02,2.2199,0,1,0,1,5,53,3,4,4,0.007865926,-0.082934006,2.66
2-Iodo-2-methylpropane,54.3,227.2,CC(C)(C)I,I,184.02,2.2199,0,0,0,1,5,53,4,4,4,0.013748552,-0.079778353,2.66
3-Iodo-but-1-nen,40.3,168.7,CC(I)C=C,I,182.004,1.9959,0,1,0,0.5,5,53,3,4,4,0.02580116,-0.078395487,2.66
4-Iodo-but-1-nen,55.8,233.7,ICCC=C,I,182.004,1.9975,0,2,0,0.5,5,53,2,4,4,0.002977923,-0.086040278,2.66
"1-Iodo-2,2- imethylpropane",57.1,239.1,CC(C)(C)CI,I,198.047,2.4675,0,0,0,1,6,53,2,4,4,0.004403723,-0.085804591,2.66
2-Iodo-2-methyl-butane,54.3,227,CCC(C)(C)I,I,198.047,2.61,0,1,0,1,6,53,4,4,4,0.01630636,-0.079487937,2.66
Iodo-cyclo-propane,64.5,269.9,IC1CC1,I,167.977,1.5838,0,0,0,1,4,53,3,4,4,0.01103356,-0.082620839,2.66
Iodo-cyclo-heptane,55.4,231.8,IC1CCCCCC1,I,224.085,3.1442,0,0,0,1,8,53,3,4,4,0.01095962,-0.082622153,2.66
Iodo-cyclo-hexane,55.5,232.2,IC1CCCCC1,I,210.058,2.7541,0,0,0,1,7,53,3,4,4,0.01095962,-0.082622153,2.66
Iodobenzene,65,272,Ic1ccccc1,I,204.01,2.2912,0,0,0,0,7,53,3,3,4,0.012980904,-0.044315777,2.66
Pentafluoroiodobenzene,72.1,301.7,Fc1c(F)c(F)c(I)c(F)c1F,I,293.96,2.9867,0,0,0,0,12,53,3,3,4,0.090806403,-0.037648827,2.66
Benzyl iodide,44.9,187.8,ICc1ccccc1,I,218.037,2.6216,0,1,0,0.142857143,8,53,2,4,4,0.024660837,-0.081183089,2.66
(2-Iodoethyl)benzene,54.9,229.7,ICCc1ccccc1,I,232.064,2.6641,0,2,0,0.25,9,53,2,4,4,0.003578701,-0.086016832,2.66
(1-Iodoethyl)benzene,42.1,176.1,CC(I)c1ccccc1,I,232.064,3.1826,0,1,0,0.25,9,53,3,4,4,0.033088293,-0.077722495,2.66
(1-Iodoisopropyl)benzene,42.1,176.1,CC(C)(I)c1ccccc1,I,246.091,3.3567,0,1,0,0.333333333,10,53,4,4,4,0.041368847,-0.074267005,2.66
1-Iodonaphthalene,65.6,274.5,Ic1cccc2ccccc12,I,254.07,3.4444,0,0,0,0,11,53,3,3,4,0.020828556,-0.043637102,2.66
2-Iodonaphthalene,65,272,Ic1ccc2ccccc2c1,I,254.07,3.4444,0,0,0,0,11,53,3,3,4,0.013619836,-0.044292491,2.66
1-Adamantyl iodide,53.7,224.7,IC12CC3CC(CC(C3)C1)C2,I,262.134,3.3902,0,0,0,1,11,53,4,4,4,0.022993942,-0.078840464,2.66
Iodoacetonitrile,44.7,187,ICC#N,I,166.949,0.94498,23.79,0,0,0.5,4,53,2,4,4,0.086953255,-0.069784114,2.66
Iodomethyl methyl ether,54.8,229.4,COCI,I,171.965,1.0253,9.23,1,0,1,4,53,2,4,4,0.097495735,-0.054981828,2.66
Iodomethyl methyl sulfide,51.8,216.8,CSCI,I,188.033,1.7419,0,1,0,1,4,53,2,4,4,0.045113299,-0.074468074,2.66
Acetyl iodide,53.3,223,CC(I)=O,I,169.949,0.9679,17.07,0,0,0.5,4,53,3,3,4,0.188854724,-0.000867564,2.66
3-Iodo-2butanone,46.9,196.3,CC(I)C(C)=O,I,198.003,1.3989,17.07,1,0,0.75,6,53,3,4,4,0.066418832,-0.074477565,2.66
Chlorothioformylchloride,63.4,265.3,ClC(Cl)=S,Cl,114.984,1.7489,0,0,0,0,4,17,3,3,4,0.168868505,-0.057928098,3.16
Chloromethylthiomethane,72,301.2,CSCCl,Cl,96.582,1.5457,0,1,0,1,4,17,2,4,4,0.067699257,-0.114888648,3.16
Chlorotrinitromethane,72.2,302.1,[O-][N+](=O)C(Cl)([N+]([O-])=O)[N+]([O-])=O,Cl,185.479,-0.3334,129.42,3,0,1,11,17,4,4,4,0.789180174,0.145206574,3.16
Bromotrinitromethane,52.2,218.4,[O-][N+](=O)C(Br)([N+]([O-])=O)[N+]([O-])=O,Br,229.93,-0.1773,129.42,3,0,1,11,35,4,4,4,0.755108262,0.20152509,2.96
Iodotrinitromethane,34.6,144.8,[O-][N+](=O)C(I)([N+]([O-])=O)[N+]([O-])=O,I,276.93,-0.1372,129.42,3,0,1,11,53,4,4,4,0.743789104,0.218914581,2.66
